GISJOIN,N,MedianSalesPriceAmount,MeanSqfeet,MeanAge,MeanNoOfStories,MeanFullBathNumber,perc_area_flood,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,N_perc_area_flood,residuals
G24000504001001,617,160000,1379.23824959481,44.7260940032415,1.84683954619125,1.93192868719611,0,0.180292171410468,0.758532199810588,0.626999249427044,-0.626800391546448,1,-12491.6634461633
G24000504001003,243,135000,1407.56378600823,82.5761316872428,1.73251028806584,1.59670781893004,0,0.189213859232823,0.526870954910893,0.681498699342808,-0.762681008841625,1,9501.24719968804
G24000504002001,513,150000,1347.25341130604,74.0916179337232,1.97270955165692,1.53021442495127,0,0.170217914100879,0.578800441346774,0.566998457230447,-0.789633875668269,1,40463.4844389253
G24000504002002,642,163717.5,1353.08722741433,71.7897196261682,1.91510903426791,1.58566978193146,0,0.17205538984614,0.592889215366307,0.5944559651688,-0.767155238888375,1,44398.5191226646
G24000504004001,283,207500,1728.84098939929,75.9151943462898,1.73498233215548,1.86925795053004,0.00643884372937243,0.290406467600742,0.567639237613456,0.680320304194781,-0.652203757478221,0.987573120024709,39199.004710579
G24000504004002,541,230000,1923.46210720887,58.007393715342,1.81608133086876,2.0369685767098,0,0.351706237228839,0.677243973603837,0.641661338930217,-0.584222836331692,1,29605.448458896
G24000504004003,349,250000,1837.44699140401,81.8080229226361,1.79512893982808,1.75644699140401,0,0.324614075583097,0.531572166415957,0.651649104134507,-0.697931288830889,1,92951.9539667384
G24000504004004,304,262500,1513.15789473684,72.5131578947368,1.5,1.66118421052632,0,0.222472811868586,0.588461409737581,0.792333694750941,-0.736545726941115,1,105677.543153493
G24000504004005,725,280000,2285.44413793103,29.8731034482759,1.94137931034483,2.41793103448276,0,0.465719635890386,0.849439963527324,0.581933224981361,-0.429801024240355,1,17030.3301980579
G24000504005001,749,3e+05,2135.94526034713,55.2336448598131,1.77036048064085,2.12016021361816,0.0012929463015619,0.418632008100071,0.694220710014922,0.663455945384926,-0.550501394598739,0.997504631393567,77532.2315314189
G24000504006001,340,118450,1300.62058823529,76.9558823529412,2.00882352941176,1.55588235294118,0,0.15552998432472,0.561269704214684,0.549783337022544,-0.779229470005824,1,13381.7442245235
G24000504006002,545,143000,1353.82752293578,82.548623853211,1.94220183486239,1.53211009174312,0.0417324337780496,0.172288560559742,0.527039316673951,0.581541136949967,-0.788865473703334,0.919456975905337,38662.4603125274
G24000504006003,531,190000,1482.07156308851,80.5367231638418,1.74011299435028,1.73822975517891,0,0.212681556993102,0.53935315958753,0.677874576199119,-0.705315582405698,1,48246.5270976534
G24000504007011,723,185000,1346.65975103734,69.4896265560166,2.00069156293223,1.86583679114799,0,0.170030929059799,0.606966940426055,0.553659752448787,-0.653590512578229,1,46602.2259331864
G24000504007012,363,152000,1368.3608815427,44.4407713498623,1.80578512396694,1.8870523415978,0,0.176866129245779,0.760278517783419,0.646569423016205,-0.644990862722636,1,-18889.5483314139
G24000504007021,841,147900,1461.41973840666,76.5719381688466,1.88763376932224,1.73602853745541,0,0.206176856425941,0.563619635498819,0.607553109770114,-0.706207838381936,1,12922.2359976225
G24000504008001,610,130500,1248.82950819672,69.1311475409836,1.58852459016393,1.52459016393443,0,0.139217359513567,0.609161012082899,0.750135034958528,-0.791913650381432,1,635.380038409893
G24000504008002,343,210000,1676.38483965015,74.064139941691,1.84985422740525,1.6997084548105,0,0.273884365932691,0.578968620461803,0.625562185367254,-0.720930058020379,1,63091.269638697
G24000504009001,539,186000,1517.18552875696,70.1892393320965,1.569573283859,1.74397031539889,0.00179783188345571,0.223741394848471,0.60268495878029,0.759168905953049,-0.70298866621356,0.996530209153929,24625.6938226208
G24000504010001,286,166000,1798.23076923077,90.493006993007,1.97552447552448,1.74475524475524,0,0.312262150920656,0.478415700933056,0.565656615213347,-0.702670497819013,1,28652.1618167189
G24000504010002,281,255000,2053.76868327402,78.5231316725979,1.98932384341637,1.93950177935943,0.00136757031239308,0.392748870133842,0.55167735105797,0.559078614344413,-0.623730664881435,0.997360608077448,81038.2247780472
G24000504011011,492,129950,1385.29268292683,51.599593495935,1.6869918699187,1.38617886178862,0,0.182199134912982,0.716462929957051,0.703196808739565,-0.848018192063109,1,-2891.24049845466
G24000504011012,821,118900,1316.88306942753,64.3179049939099,1.58343483556638,1.24360535931791,0,0.16065217436188,0.638620474442447,0.752561262770384,-0.905809867223019,1,4452.10860513703
G24000504011013,946,122100,1199.13636363636,59.477801268499,1.27642706131078,1.51585623678647,0,0.12356552096732,0.668244340707348,0.898908357915888,-0.795453917484772,1,-29616.9595706759
G24000504011014,197,133000,1413.81725888325,46.5786802030457,1.91370558375635,1.47715736040609,0,0.191183514175352,0.747193441606074,0.595124973978256,-0.811140372920541,1,702.696116445565
G24000504011021,179,97500,1277.32960893855,65.1675977653631,1.37709497206704,1.18994413407821,0.0990730800152189,0.148194029823111,0.633419927831093,0.850921116064223,-0.927561258919188,0.808790316106717,-19009.0010903426
G24000504012001,582,105000.5,1386.16494845361,78.0498281786942,1.49398625429553,1.66838487972509,0,0.182473872189429,0.554574206208512,0.795200378556999,-0.733626960634208,1,-42259.6836198688
G24000504012002,956,114850,1497.99058577406,70.0721757322176,1.69822175732218,1.69351464435146,0.00496006130262792,0.217695567981792,0.603401446819399,0.697843649835708,-0.723440697626248,0.990427149800722,-34080.7162669272
G24000504013011,938,93050,1169.62686567164,64.3582089552239,2,1.20362473347548,0.0112509408764553,0.114270921041899,0.638373793952183,0.553989412590089,-0.922015875361523,0.978285838613692,13559.8663224093
G24000504013012,500,96450,1225.304,64.064,1.999,1.326,0,0.131807535497173,0.640174500556409,0.55446610115441,-0.872411485148515,1,3670.84421336632
G24000504013013,578,119450,1247.91868512111,64.8166089965398,1.50951557093426,1.5363321799308,0,0.13893047777465,0.635568155418349,0.787797730903589,-0.787154064887458,1,-19042.1097350975
G24000504013021,727,95790,1183.02063273728,70.2462173314993,1.91746905089409,1.30811554332875,0.00280091763143955,0.118489552836929,0.602336224800585,0.593330972231495,-0.879660887684367,0.994594267435348,6541.61623733478
G24000504013022,420,98950,1226.7380952381,67.4166666666667,2,1.36428571428571,0,0.132259232151212,0.6196544963171,0.553989412590089,-0.856892503536068,1,5537.28172714242
G24000504014001,572,275000,1951.33041958042,62.5594405594406,1.76398601398601,1.9020979020979,0.0516083006021378,0.360483913297739,0.649383160160278,0.666494580742938,-0.638892196911999,0.900396688556685,85937.6652462224
G24000504015031,415,276900,1739.00963855422,40.510843373494,1.77590361445783,2.14939759036145,0,0.293609284734059,0.784331651230006,0.660813596883868,-0.538650125253489,1,61511.849597265
G24000504015032,450,235000,1688.66888888889,60.5422222222222,1.58333333333333,1.73555555555556,0,0.277753470153805,0.661729549750057,0.752609647724132,-0.706399559955996,1,59279.0097300705
G24000504015033,461,196030,1518.0694143167,64.3036876355748,1.85357917570499,1.86117136659436,0.0885494424613883,0.224019792084083,0.638707491817662,0.623786545110078,-0.655481626253732,0.829100792068162,39624.0919163837
G24000504015034,658,240000,1658.10182370821,71.7598784194529,2.05851063829787,1.96200607902736,0.008607166832232,0.268125768520645,0.593071858542377,0.526098060422329,-0.614608624996238,0.983388286213016,83373.4141715316
G24000504015035,573,215000,1557.12041884817,53.0663176265271,1.6108202443281,1.83769633507853,0,0.236319678183118,0.707485841457057,0.739506951584399,-0.664997148929553,1,33730.2859564403
G24000504015041,649,225000,1873.48844375963,41.3759630200308,1.67180277349769,2.16640986132512,0,0.335966043711362,0.779036684393325,0.710437277305841,-0.53175426017178,1,-3891.46384731219
G24000504015042,439,221472,1836.61047835991,48.9043280182232,1.5626423690205,2.24829157175399,0,0.324350599258064,0.732959308669133,0.762472793796848,-0.498563792597939,1,-12894.3545626767
G24000504015043,721,189000,1616.33287101248,38.7073509015257,1.97919556171983,2.09708737864078,0,0.254969810900671,0.795369931157532,0.563906650405381,-0.559853888301451,1,-5619.04689996946
G24000504015051,311,157605,1465.12218649518,52.5594855305466,1.508038585209,1.66559485530547,0,0.207343015666215,0.710587908495674,0.788501793108483,-0.734757887364299,1,-11408.5024311323
G24000504015052,518,150100,1379.94208494209,48.3629343629344,1.60810810810811,1.76640926640927,0,0.180513858271223,0.736272909812998,0.740799795905351,-0.693893115180244,1,-20101.7700223914
G24000504015053,350,176000,1427.09714285714,53.5228571428571,1.31857142857143,1.76571428571429,0,0.195366276238634,0.704691590270786,0.878818619992164,-0.694174823196605,1,-9363.32566767197
G24000504015061,218,234065,1566.84403669725,28.2614678899083,2.08256880733945,1.9954128440367,0,0.239382323906299,0.859303982762736,0.514629806361691,-0.601067308565719,1,48390.4575346989
G24000504015062,1166,152990,1262.41595197256,26.1646655231561,2.00171526586621,1.9991423670669,0,0.143496678648598,0.872137466592945,0.553171764966895,-0.599555559329518,1,-23826.4392810547
G24000504015063,1257,135500,1235.2322991249,28.3739061256961,2.01352426412092,1.83293556085919,0,0.134934649635684,0.858615804275454,0.547542550542779,-0.666926912261632,1,-24213.7620377857
G24000504015071,465,119300,1375.3935483871,47.189247311828,1.78709677419355,1.73118279569892,0.0119147844610968,0.17908120673729,0.743456464176984,0.655477945639226,-0.708172043010753,0.977004629611667,-38060.7382692098
G24000504015072,433,118900,1642.30484988453,54.4110854503464,1.42378752886836,1.56120092378753,0,0.263150199234479,0.699255186820253,0.828663308198092,-0.777073605743946,1,-54096.9348149136
G24000504015073,42,116350,1540.92857142857,51.5,1.4047619047619,1.45238095238095,0,0.231219735649411,0.717072492183774,0.837732605638722,-0.821183404054691,1,-45986.7553754586
G24000504022011,831,245000,2312.67388688327,48.8736462093863,1.64981949458484,2.09747292418773,0,0.474296183782975,0.733147096752471,0.720916454969891,-0.559697608750045,1,3791.86384506013
G24000504022012,323,223000,2111.74303405573,53.2136222910217,1.52321981424149,1.95046439628483,0,0.41100903833786,0.706584262910656,0.78126507483635,-0.619287006099991,1,-278.048320585025
G24000504022021,617,264900,2666.86871961102,38.9205834683955,1.74959481361426,2.25445705024311,0.00656957031694769,0.585856850446686,0.794064840729178,0.673354701387015,-0.496064637257891,0.987320819505911,-8268.24039756527
G24000504023021,779,214524,2020.52246469833,38.0064184852375,1.79589216944801,2.16944801026958,0,0.382277316159472,0.799659989664304,0.651285281302734,-0.530522757025382,1,-17380.4624185274
G24000504023022,680,155000,1800.60147058824,48.5529411764706,1.54117647058824,1.98823529411765,0,0.313008850193095,0.735109972662691,0.7727053421024,-0.603976703552708,1,-58041.1964964876
G24000504023031,114,137500,1290.64035087719,46.280701754386,1.83771929824561,1.49122807017544,0,0.152386511212599,0.749017219403763,0.631346767326506,-0.805436859475421,1,5690.66987274744
G24000504023032,357,139500,1279.42577030812,55.9775910364146,1.3921568627451,1.66666666666667,0,0.148854257297418,0.689667385686721,0.843741285020928,-0.734323432343234,1,-24374.7165760571
G24000504023033,656,131933,1559.5487804878,36.4756097560976,1.95426829268293,2.00609756097561,0,0.237084538701641,0.809029308100828,0.575789194495045,-0.596736295580778,1,-55553.0817513132
G24000504023034,527,125000,1370.10436432638,63.0151802656547,1.51328273244782,1.70588235294118,0,0.177415273625344,0.646593804213708,0.786001968090121,-0.718427489807804,1,-34460.0921793691
G24000504023035,465,135000,1570.95483870968,53.5182795698925,1.53118279569892,1.84731182795699,0,0.240677102289985,0.704719607316911,0.777469212637683,-0.661099542212286,1,-51989.0669016941
G24000504023041,281,128500,1404.3665480427,59.085409252669,1.48042704626335,1.38078291814947,0,0.188206825911163,0.670645976965541,0.801663897967202,-0.850205419118424,1,-11220.8632360233
G24000504023042,310,121000,1613.25806451613,58.8741935483871,1.7,1.54838709677419,0,0.254001339791272,0.67193872318167,0.6969959818866,-0.782267646119451,1,-30324.8697396189
G24000504023043,411,110000,1332.84671532847,68.5620437956204,1.44890510948905,1.61313868613139,0,0.165680240314669,0.612644212898407,0.81669004475278,-0.756020813760208,1,-39700.1312223419
G24000504023051,209,128000,1557.2009569378,60.1291866028708,1.43540669856459,1.84688995215311,0.0734368142109642,0.236345045247063,0.664257535232283,0.823124582876984,-0.661270548107442,0.858267957055023,-56781.0695730237
G24000504023052,116,150752,1768.26724137931,78.5344827586207,1.76724137931034,1.62068965517241,0.0821242507646245,0.302824545304103,0.5516078767092,0.664942785320141,-0.752960054626152,0.841501323807997,6498.0588195289
G24000504023061,435,130000,1476.95862068966,62.6344827586207,1.67011494252874,1.40919540229885,0,0.211071134677686,0.648923864203238,0.711241847027249,-0.838688517127575,1,-2153.29757250666
